Consumer ID,Segment,Annual BNPL Transactions,Total Borrowed CAD,Total Paid CAD,Total Late Fees CAD,Missed Payment Count,Peak Simultaneous Plans,Est Monthly BNPL Commitment CAD,Awareness of Total Commitment %,Preferred Platform,Top Category
BNPL5068,Occasional User,2,510.01,510.01,0.0,0,1,127.5,85.0,PayBright,Sporting Goods
BNPL5069,Regular User,7,814.94,830.94,16.0,2,3,174.66,80.0,Sezzle,Sporting Goods
BNPL5070,Regular User,4,515.47,531.47,16.0,2,4,257.76,66.0,Klarna,Electronics and Tech
BNPL5071,Regular User,6,912.95,928.95,16.0,2,3,228.24,67.0,PayBright,Beauty and Skincare
BNPL5072,Regular User,6,663.47,671.47,8.0,1,2,110.56,71.0,PayBright,Beauty and Skincare
BNPL5073,Regular User,2,347.97,355.97,8.0,1,2,174.0,51.0,Sezzle,Electronics and Tech
BNPL5074,Regular User,8,796.53,796.53,0.0,0,2,99.56,74.0,PayBright,Home and Furniture
BNPL5075,Regular User,9,1326.43,1342.43,16.0,2,2,147.4,58.0,Afterpay,Electronics and Tech
BNPL5076,Occasional User,2,211.04,211.04,0.0,0,1,52.76,91.0,PayBright,Beauty and Skincare
BNPL5077,Occasional User,2,376.43,376.43,0.0,0,1,94.1,85.0,Klarna,Electronics and Tech
BNPL5078,Regular User,5,507.49,507.49,0.0,0,2,101.48,73.0,Afterpay,Home and Furniture
BNPL5079,Regular User,6,764.61,796.61,32.0,4,2,127.44,66.0,Afterpay,Beauty and Skincare
BNPL5080,Regular User,2,135.93,135.93,0.0,0,1,33.98,59.0,Klarna,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5081,Occasional User,2,308.24,308.24,0.0,0,1,77.06,100.0,Afterpay,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5082,Regular User,7,1282.54,1298.54,16.0,2,2,183.2,69.0,Afterpay,Beauty and Skincare
BNPL5083,Regular User,5,759.9,767.9,8.0,1,3,228.0,62.0,Klarna,Sporting Goods
BNPL5084,Regular User,7,506.49,522.49,16.0,2,3,108.54,81.0,Sezzle,Sporting Goods
BNPL5085,Regular User,7,1630.76,1646.76,16.0,2,3,349.44,56.0,Afterpay,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5086,Occasional User,2,297.11,297.11,0.0,0,1,74.28,78.0,Klarna,Home and Furniture
BNPL5087,Regular User,5,972.87,1004.87,32.0,4,2,194.56,65.0,Klarna,Home and Furniture
BNPL5088,Regular User,8,1044.47,1052.47,8.0,1,3,195.84,64.0,Afterpay,Beauty and Skincare
BNPL5089,Occasional User,1,46.85,46.85,0.0,0,1,23.42,99.0,Afterpay,Sporting Goods
BNPL5090,Regular User,6,787.86,803.86,16.0,2,3,196.98,53.0,Klarna,Beauty and Skincare
BNPL5091,High Exposure User,7,974.36,1006.36,32.0,4,6,417.6,19.0,Sezzle,Electronics and Tech
BNPL5092,Regular User,8,1286.4,1302.4,16.0,2,4,321.6,65.0,Afterpay,Sporting Goods
BNPL5093,Occasional User,2,295.51,295.51,0.0,0,1,73.88,96.0,Paidy,Footwear
BNPL5094,Occasional User,2,584.79,592.79,8.0,1,1,146.2,95.0,Klarna,Electronics and Tech
BNPL5095,High Exposure User,11,1320.31,1352.31,32.0,4,5,300.1,24.0,Klarna,Home and Furniture
BNPL5096,Occasional User,2,129.9,129.9,0.0,0,1,32.48,75.0,Klarna,Electronics and Tech
BNPL5097,Regular User,4,357.02,357.02,0.0,0,2,89.24,56.0,Klarna,Electronics and Tech
BNPL5098,Regular User,6,504.6,504.6,0.0,0,1,42.06,43.0,Klarna,Beauty and Skincare
BNPL5099,Regular User,7,745.75,761.75,16.0,2,3,159.78,79.0,PayBright,Beauty and Skincare
BNPL5100,Occasional User,1,57.68,57.68,0.0,0,1,28.84,74.0,Klarna,Home and Furniture
BNPL5101,Occasional User,3,642.79,658.79,16.0,2,1,107.14,72.0,Afterpay,Electronics and Tech
BNPL5102,Regular User,5,557.71,557.71,0.0,0,2,111.56,51.0,Klarna,Sporting Goods
BNPL5103,High Exposure User,10,1511.82,1591.82,80.0,10,5,378.0,10.0,Afterpay,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5104,Regular User,9,1469.0,1469.0,0.0,0,3,244.86,71.0,Afterpay,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5105,Regular User,4,308.1,308.1,0.0,0,2,77.04,67.0,Afterpay,Footwear
BNPL5106,High Exposure User,15,3203.71,3275.71,72.0,9,7,747.6,31.0,Sezzle,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5107,Occasional User,1,395.95,395.95,0.0,0,1,197.98,83.0,Afterpay,Footwear
BNPL5108,High Exposure User,14,1754.01,1786.01,32.0,4,6,375.84,22.0,Klarna,Home and Furniture
BNPL5109,Occasional User,1,48.19,48.19,0.0,0,1,24.1,100.0,Afterpay,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5110,Regular User,7,1446.54,1454.54,8.0,1,3,309.96,64.0,Afterpay,Sporting Goods
BNPL5111,Occasional User,3,150.26,150.26,0.0,0,1,25.04,89.0,PayBright,Footwear
BNPL5112,High Exposure User,9,846.98,870.98,24.0,3,5,235.3,26.0,Afterpay,Footwear
BNPL5113,Regular User,5,893.16,925.16,32.0,4,3,267.96,67.0,PayBright,Footwear
BNPL5114,High Exposure User,6,1419.05,1459.05,40.0,5,6,709.56,32.0,Afterpay,Sporting Goods
BNPL5115,Regular User,4,536.68,536.68,0.0,0,2,134.16,62.0,Afterpay,Footwear
BNPL5116,Occasional User,3,414.19,414.19,0.0,0,1,69.04,100.0,Sezzle,Footwear
BNPL5117,High Exposure User,10,637.37,653.37,16.0,2,6,191.16,30.0,Afterpay,Home and Furniture
BNPL5118,Occasional User,1,201.42,201.42,0.0,0,1,100.7,73.0,Sezzle,Electronics and Tech
BNPL5119,High Exposure User,13,2334.88,2358.88,24.0,3,5,449.0,28.0,Sezzle,Sporting Goods
BNPL5120,Regular User,6,951.77,959.77,8.0,1,3,237.96,68.0,Klarna,Electronics and Tech
BNPL5121,High Exposure User,15,1583.35,1599.35,16.0,2,6,316.68,10.0,Klarna,Home and Furniture
BNPL5122,High Exposure User,13,1982.56,2014.56,32.0,4,4,305.04,30.0,Paidy,Beauty and Skincare
BNPL5123,High Exposure User,19,2833.47,2881.47,48.0,6,6,447.36,42.0,Klarna,Sporting Goods
BNPL5124,Regular User,8,1067.33,1083.33,16.0,2,3,200.1,79.0,Afterpay,Home and Furniture
BNPL5125,Occasional User,1,64.13,64.13,0.0,0,1,32.06,75.0,Paidy,Sporting Goods
BNPL5126,High Exposure User,15,2009.11,2065.11,56.0,7,4,267.92,26.0,Afterpay,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5127,High Exposure User,11,1833.04,1849.04,16.0,2,6,499.92,10.0,Klarna,Sporting Goods
BNPL5128,High Exposure User,15,1952.87,1992.87,40.0,5,6,390.6,30.0,Afterpay,Beauty and Skincare
BNPL5129,Occasional User,1,145.28,145.28,0.0,0,1,72.64,86.0,Klarna,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5130,Occasional User,1,62.03,62.03,0.0,0,1,31.02,89.0,Klarna,Home and Furniture
BNPL5131,Regular User,10,1617.18,1617.18,0.0,0,2,161.72,74.0,Afterpay,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5132,Occasional User,2,94.37,94.37,0.0,0,1,23.6,100.0,Afterpay,Sporting Goods
BNPL5133,Occasional User,3,190.41,190.41,0.0,0,1,31.74,86.0,Klarna,Electronics and Tech
BNPL5134,Regular User,10,1353.1,1385.1,32.0,4,3,202.98,50.0,Klarna,Sporting Goods
BNPL5135,High Exposure User,15,2300.01,2380.01,80.0,10,5,383.3,22.0,Afterpay,Footwear
BNPL5136,Occasional User,2,76.07,76.07,0.0,0,1,19.02,100.0,Klarna,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5137,High Exposure User,13,1775.28,1791.28,16.0,2,6,409.68,37.0,Afterpay,Footwear
BNPL5138,Regular User,6,1006.71,1022.71,16.0,2,3,251.7,41.0,Klarna,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5139,Occasional User,2,330.61,330.61,0.0,0,1,82.66,97.0,Afterpay,Electronics and Tech
BNPL5140,Occasional User,1,117.36,117.36,0.0,0,1,58.68,86.0,Klarna,Sporting Goods
BNPL5141,Occasional User,3,816.8,816.8,0.0,0,1,136.14,96.0,Afterpay,Sporting Goods
BNPL5142,Regular User,5,837.73,837.73,0.0,0,2,167.56,56.0,Klarna,Home and Furniture
BNPL5143,High Exposure User,13,1635.83,1675.83,40.0,5,5,314.6,17.0,Sezzle,Electronics and Tech
BNPL5144,Regular User,9,1405.77,1405.77,0.0,0,3,234.3,69.0,Klarna,Electronics and Tech
BNPL5145,Occasional User,1,93.07,93.07,0.0,0,1,46.54,63.0,Afterpay,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5146,Occasional User,2,137.92,137.92,0.0,0,1,34.48,97.0,Afterpay,Electronics and Tech
BNPL5147,Regular User,3,147.68,155.68,8.0,1,3,73.86,53.0,Sezzle,Electronics and Tech
BNPL5148,High Exposure User,16,2230.8,2294.8,64.0,8,5,348.6,11.0,Sezzle,Electronics and Tech
BNPL5149,High Exposure User,9,1169.22,1209.22,40.0,5,6,389.76,50.0,Sezzle,Sporting Goods
BNPL5150,Occasional User,2,102.58,102.58,0.0,0,1,25.64,98.0,Klarna,Sporting Goods
BNPL5151,Occasional User,2,221.48,221.48,0.0,0,1,55.36,100.0,Klarna,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5152,Regular User,10,1035.29,1059.29,24.0,3,2,103.52,45.0,Afterpay,Footwear
BNPL5153,Regular User,7,934.21,934.21,0.0,0,3,200.16,70.0,Afterpay,Beauty and Skincare
BNPL5154,High Exposure User,5,721.75,745.75,24.0,3,4,288.72,40.0,PayBright,Beauty and Skincare
BNPL5155,Occasional User,1,79.87,79.87,0.0,0,1,39.94,98.0,PayBright,Sporting Goods
BNPL5156,High Exposure User,18,3313.02,3361.02,48.0,6,5,460.1,45.0,Sezzle,Home and Furniture
BNPL5157,Regular User,6,935.95,935.95,0.0,0,3,234.0,77.0,Sezzle,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5158,Occasional User,2,430.38,438.38,8.0,1,1,107.6,58.0,Afterpay,Beauty and Skincare
BNPL5159,Occasional User,3,530.57,530.57,0.0,0,1,88.42,100.0,PayBright,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5160,Regular User,6,1052.27,1052.27,0.0,0,3,263.04,84.0,Klarna,Electronics and Tech
BNPL5161,Regular User,9,1316.02,1356.02,40.0,5,3,219.36,63.0,Afterpay,Electronics and Tech
BNPL5162,Regular User,6,455.87,471.87,16.0,2,2,75.96,45.0,Afterpay,Beauty and Skincare
BNPL5163,Regular User,4,365.91,373.91,8.0,1,3,137.22,66.0,Sezzle,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5164,High Exposure User,15,1643.98,1675.98,32.0,4,6,328.8,40.0,Afterpay,Home and Furniture
BNPL5165,High Exposure User,21,3262.01,3374.01,112.0,14,6,465.96,20.0,Afterpay,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5166,High Exposure User,15,1841.63,1849.63,8.0,1,5,306.9,43.0,Afterpay,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5167,Occasional User,1,45.67,45.67,0.0,0,1,22.84,74.0,Afterpay,Home and Furniture
BNPL5168,Occasional User,2,287.18,287.18,0.0,0,1,71.8,100.0,Afterpay,Sporting Goods
BNPL5169,Occasional User,1,60.77,60.77,0.0,0,1,30.38,80.0,Afterpay,Sporting Goods
BNPL5170,Occasional User,1,170.93,170.93,0.0,0,1,85.46,87.0,Klarna,Electronics and Tech
BNPL5171,Occasional User,2,197.55,197.55,0.0,0,1,49.38,85.0,Paidy,Home and Furniture
BNPL5172,Regular User,6,1234.44,1242.44,8.0,1,2,205.72,62.0,Sezzle,Home and Furniture
BNPL5173,Regular User,8,1158.13,1174.13,16.0,2,3,217.14,59.0,PayBright,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5174,Occasional User,1,242.56,242.56,0.0,0,1,121.28,90.0,PayBright,Electronics and Tech
BNPL5175,Occasional User,1,445.63,445.63,0.0,0,1,222.82,94.0,Klarna,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5176,High Exposure User,13,1980.12,2004.12,24.0,3,5,380.8,41.0,Afterpay,Sporting Goods
BNPL5177,Regular User,4,917.11,933.11,16.0,2,2,229.28,59.0,PayBright,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5178,Occasional User,3,555.98,555.98,0.0,0,1,92.66,100.0,Afterpay,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5179,High Exposure User,11,2162.08,2250.08,88.0,11,5,491.4,11.0,Afterpay,Home and Furniture
BNPL5180,Regular User,4,394.2,394.2,0.0,0,3,147.84,73.0,PayBright,Home and Furniture
BNPL5181,High Exposure User,9,1393.77,1425.77,32.0,4,6,464.64,21.0,Sezzle,Home and Furniture
BNPL5182,Occasional User,2,182.44,182.44,0.0,0,1,45.6,91.0,PayBright,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5183,Occasional User,1,61.66,61.66,0.0,0,1,30.82,70.0,Paidy,Electronics and Tech
BNPL5184,Occasional User,2,133.85,133.85,0.0,0,1,33.46,97.0,Klarna,Home and Furniture
BNPL5185,Occasional User,1,50.28,50.28,0.0,0,1,25.14,96.0,Afterpay,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5186,Occasional User,1,279.23,279.23,0.0,0,1,139.62,63.0,Klarna,Home and Furniture
BNPL5187,Occasional User,1,165.18,165.18,0.0,0,1,82.6,100.0,Afterpay,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5188,High Exposure User,11,1210.4,1210.4,0.0,0,6,330.12,33.0,Afterpay,Beauty and Skincare
BNPL5189,Regular User,7,846.99,846.99,0.0,0,3,181.5,73.0,Klarna,Home and Furniture
BNPL5190,Occasional User,1,69.21,69.21,0.0,0,1,34.6,100.0,Sezzle,Electronics and Tech
BNPL5191,Regular User,6,664.79,664.79,0.0,0,2,110.8,66.0,Klarna,Beauty and Skincare
BNPL5192,High Exposure User,12,1066.86,1106.86,40.0,5,5,222.3,28.0,Afterpay,Home and Furniture
BNPL5193,Regular User,7,816.56,832.56,16.0,2,3,174.96,64.0,Afterpay,Footwear
BNPL5194,High Exposure User,12,2092.88,2116.88,24.0,3,5,436.0,42.0,Afterpay,Footwear
BNPL5195,High Exposure User,12,1246.44,1262.44,16.0,2,6,311.64,17.0,Paidy,Sporting Goods
BNPL5196,Occasional User,1,68.17,68.17,0.0,0,1,34.08,93.0,Paidy,Electronics and Tech
BNPL5197,Occasional User,1,72.67,72.67,0.0,0,1,36.34,69.0,Afterpay,Footwear
BNPL5198,Occasional User,2,366.55,366.55,0.0,0,1,91.64,100.0,Afterpay,Beauty and Skincare
BNPL5199,Regular User,6,1200.98,1200.98,0.0,0,2,200.16,79.0,Afterpay,Beauty and Skincare
BNPL5200,Occasional User,3,558.01,558.01,0.0,0,1,93.0,97.0,Klarna,Beauty and Skincare
BNPL5201,Occasional User,1,86.47,86.47,0.0,0,1,43.24,87.0,Klarna,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5202,Occasional User,1,59.79,75.79,16.0,2,1,29.9,100.0,PayBright,Beauty and Skincare
BNPL5203,Regular User,2,175.73,175.73,0.0,0,2,87.88,73.0,Klarna,Sporting Goods
BNPL5204,Regular User,8,856.7,872.7,16.0,2,2,107.08,36.0,Afterpay,Beauty and Skincare
BNPL5205,Regular User,7,1179.56,1195.56,16.0,2,3,252.78,67.0,Paidy,Footwear
BNPL5206,Occasional User,3,205.77,205.77,0.0,0,1,34.3,100.0,Klarna,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5207,Regular User,8,1177.22,1177.22,0.0,0,3,220.74,68.0,Klarna,Footwear
BNPL5208,Regular User,11,1872.59,1872.59,0.0,0,2,170.24,61.0,Klarna,Footwear
BNPL5209,Regular User,6,795.13,795.13,0.0,0,2,132.52,68.0,Klarna,Home and Furniture
BNPL5210,High Exposure User,17,2580.97,2692.97,112.0,14,5,379.6,30.0,Sezzle,Footwear
BNPL5211,Regular User,6,714.23,714.23,0.0,0,2,119.04,31.0,Afterpay,Beauty and Skincare
BNPL5212,Occasional User,2,363.74,363.74,0.0,0,1,90.94,82.0,Klarna,Home and Furniture
BNPL5213,High Exposure User,14,1891.78,1963.78,72.0,9,5,337.8,19.0,Afterpay,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5214,Occasional User,1,265.96,265.96,0.0,0,1,132.98,85.0,PayBright,Home and Furniture
BNPL5215,Regular User,6,870.97,902.97,32.0,4,2,145.16,68.0,Sezzle,Home and Furniture
BNPL5216,Occasional User,1,415.18,415.18,0.0,0,1,207.6,83.0,Klarna,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5217,Regular User,8,1178.76,1178.76,0.0,0,2,147.36,55.0,Sezzle,Electronics and Tech
BNPL5218,Regular User,8,1187.75,1219.75,32.0,4,2,148.48,53.0,Afterpay,Electronics and Tech
BNPL5219,Occasional User,2,431.67,431.67,0.0,0,1,107.92,72.0,Paidy,Home and Furniture
BNPL5220,Regular User,5,787.7,795.7,8.0,1,3,236.28,61.0,Afterpay,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5221,High Exposure User,6,1019.23,1059.23,40.0,5,6,509.64,10.0,Afterpay,Sporting Goods
BNPL5222,Regular User,4,599.47,599.47,0.0,0,3,224.82,58.0,Afterpay,Home and Furniture
BNPL5223,Occasional User,3,178.33,178.33,0.0,0,1,29.72,85.0,Klarna,Beauty and Skincare
BNPL5224,Regular User,5,291.49,299.49,8.0,1,3,87.42,59.0,Afterpay,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5225,Occasional User,1,207.22,207.22,0.0,0,1,103.6,100.0,Sezzle,Footwear
BNPL5226,High Exposure User,12,1867.12,1891.12,24.0,3,5,389.0,34.0,Sezzle,Home and Furniture
BNPL5227,Regular User,6,1279.74,1279.74,0.0,0,2,213.28,54.0,Klarna,Footwear
BNPL5228,Regular User,9,1423.94,1431.94,8.0,1,3,237.3,61.0,Afterpay,Sporting Goods
BNPL5229,Occasional User,2,359.73,359.73,0.0,0,1,89.94,100.0,Sezzle,Home and Furniture
BNPL5230,Regular User,7,818.97,834.97,16.0,2,3,175.5,58.0,Sezzle,Home and Furniture
BNPL5231,Occasional User,1,202.71,202.71,0.0,0,1,101.36,76.0,Klarna,Electronics and Tech
BNPL5232,Regular User,8,1316.43,1324.43,8.0,1,3,246.84,56.0,Afterpay,Electronics and Tech
BNPL5233,Regular User,6,1036.22,1044.22,8.0,1,3,259.08,43.0,Klarna,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5234,Regular User,6,957.09,957.09,0.0,0,3,239.28,67.0,Sezzle,Footwear
BNPL5235,High Exposure User,12,1835.02,1883.02,48.0,6,5,382.3,37.0,Sezzle,Footwear
BNPL5236,Occasional User,1,29.12,29.12,0.0,0,1,14.56,91.0,Afterpay,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5237,Regular User,6,546.87,570.87,24.0,3,2,91.16,50.0,Klarna,Home and Furniture
BNPL5238,Regular User,8,1241.8,1273.8,32.0,4,3,232.86,67.0,Sezzle,Electronics and Tech
BNPL5239,High Exposure User,16,2311.97,2343.97,32.0,4,5,361.2,29.0,Sezzle,Beauty and Skincare
BNPL5240,High Exposure User,18,2435.47,2531.47,96.0,12,6,405.96,40.0,Klarna,Footwear
BNPL5241,Occasional User,2,172.01,172.01,0.0,0,1,43.0,64.0,Afterpay,Electronics and Tech
BNPL5242,Occasional User,1,172.88,172.88,0.0,0,1,86.44,86.0,Sezzle,Electronics and Tech
BNPL5243,Regular User,8,875.86,891.86,16.0,2,2,109.48,60.0,Klarna,Electronics and Tech
BNPL5244,Occasional User,1,44.91,44.91,0.0,0,1,22.46,100.0,Klarna,Beauty and Skincare
BNPL5245,Occasional User,1,47.82,47.82,0.0,0,1,23.92,76.0,Klarna,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5246,Occasional User,2,149.27,149.27,0.0,0,1,37.32,75.0,PayBright,Footwear
