Transaction ID,Consumer ID,Segment,Transaction Date,Month,Platform,Category,Purchase Amount CAD,Number of Installments,Installment Amount CAD,Completion Date,Missed Payment,Missed Payment Count,Late Fee CAD,Total Cost CAD
TXN9030,BNPL5006,High Exposure User,2024-07-21,2024-07,Paidy,Sporting Goods,214.19,4,53.55,2024-09-15,No,0,0,214.19
TXN9031,BNPL5006,High Exposure User,2024-12-26,2024-12,Sezzle,"Fast Fashion (Shein, Temu, ASOS)",54.41,6,9.07,2025-03-20,No,0,0,54.41
TXN9032,BNPL5006,High Exposure User,2024-11-10,2024-11,Afterpay,"Fast Fashion (Shein, Temu, ASOS)",70.07,4,17.52,2025-01-05,Yes,2,16.0,86.07
TXN9033,BNPL5006,High Exposure User,2024-04-13,2024-04,Afterpay,"Fast Fashion (Shein, Temu, ASOS)",49.25,4,12.31,2024-06-08,No,0,0,49.25
TXN9034,BNPL5006,High Exposure User,2024-05-28,2024-05,Klarna,"Fast Fashion (Shein, Temu, ASOS)",29.62,4,7.41,2024-07-23,Yes,1,8.0,37.62
TXN9035,BNPL5007,High Exposure User,2024-05-09,2024-05,Klarna,"Fast Fashion (Shein, Temu, ASOS)",76.58,4,19.14,2024-07-04,No,0,0,76.58
TXN9036,BNPL5007,High Exposure User,2024-07-01,2024-07,Afterpay,Home and Furniture,304.97,6,50.83,2024-09-23,Yes,1,8.0,312.97
TXN9037,BNPL5007,High Exposure User,2024-05-31,2024-05,PayBright,Electronics and Tech,233.65,4,58.41,2024-07-26,Yes,2,16.0,249.65
TXN9038,BNPL5007,High Exposure User,2024-07-25,2024-07,Afterpay,Beauty and Skincare,56.78,3,18.93,2024-09-05,Yes,1,8.0,64.78
TXN9039,BNPL5007,High Exposure User,2024-12-07,2024-12,PayBright,Sporting Goods,117.78,6,19.63,2025-03-01,Yes,2,16.0,133.78
TXN9040,BNPL5007,High Exposure User,2024-01-13,2024-01,Afterpay,Footwear,134.83,3,44.94,2024-02-24,No,0,0,134.83
TXN9041,BNPL5007,High Exposure User,2024-01-24,2024-01,Afterpay,"Fast Fashion (Shein, Temu, ASOS)",30.25,4,7.56,2024-03-20,Yes,2,16.0,46.25
TXN9042,BNPL5007,High Exposure User,2024-04-12,2024-04,Klarna,"Fast Fashion (Shein, Temu, ASOS)",37.23,4,9.31,2024-06-07,Yes,1,8.0,45.23
TXN9043,BNPL5007,High Exposure User,2024-02-07,2024-02,Afterpay,Electronics and Tech,326.47,4,81.62,2024-04-03,No,0,0,326.47
TXN9044,BNPL5007,High Exposure User,2024-11-12,2024-11,Sezzle,"Fast Fashion (Shein, Temu, ASOS)",92.66,4,23.16,2025-01-07,Yes,2,16.0,108.66
TXN9045,BNPL5007,High Exposure User,2024-05-19,2024-05,PayBright,Electronics and Tech,308.8,6,51.47,2024-08-11,No,0,0,308.8
TXN9046,BNPL5007,High Exposure User,2024-11-20,2024-11,Afterpay,Footwear,140.88,6,23.48,2025-02-12,No,0,0,140.88
TXN9047,BNPL5007,High Exposure User,2024-05-01,2024-05,Sezzle,Electronics and Tech,276.73,4,69.18,2024-06-26,No,0,0,276.73
TXN9048,BNPL5007,High Exposure User,2024-06-19,2024-06,Klarna,Beauty and Skincare,57.24,4,14.31,2024-08-14,No,0,0,57.24
TXN9049,BNPL5008,Occasional User,2024-10-25,2024-10,Afterpay,Home and Furniture,226.38,3,75.46,2024-12-06,No,0,0,226.38
TXN9050,BNPL5008,Occasional User,2024-06-29,2024-06,Klarna,Footwear,216.02,6,36.0,2024-09-21,No,0,0,216.02
TXN9051,BNPL5008,Occasional User,2024-11-11,2024-11,Klarna,"Fast Fashion (Shein, Temu, ASOS)",74.9,3,24.97,2024-12-23,No,0,0,74.9
TXN9052,BNPL5008,Occasional User,2024-01-31,2024-01,Sezzle,"Fast Fashion (Shein, Temu, ASOS)",61.45,4,15.36,2024-03-27,No,0,0,61.45
TXN9053,BNPL5009,Occasional User,2024-07-08,2024-07,Klarna,"Fast Fashion (Shein, Temu, ASOS)",69.96,4,17.49,2024-09-02,No,0,0,69.96
TXN9054,BNPL5009,Occasional User,2024-10-06,2024-10,Klarna,"Fast Fashion (Shein, Temu, ASOS)",47.59,6,7.93,2024-12-29,No,0,0,47.59
TXN9055,BNPL5010,Occasional User,2024-01-18,2024-01,Sezzle,Footwear,136.27,4,34.07,2024-03-14,No,0,0,136.27
TXN9056,BNPL5010,Occasional User,2024-08-16,2024-08,PayBright,Home and Furniture,532.44,3,177.48,2024-09-27,No,0,0,532.44
TXN9057,BNPL5011,Regular User,2024-11-07,2024-11,Klarna,Electronics and Tech,167.74,4,41.94,2025-01-02,No,0,0,167.74
TXN9058,BNPL5011,Regular User,2024-01-29,2024-01,Sezzle,"Fast Fashion (Shein, Temu, ASOS)",52.75,3,17.58,2024-03-11,No,0,0,52.75
TXN9059,BNPL5011,Regular User,2024-02-05,2024-02,Klarna,"Fast Fashion (Shein, Temu, ASOS)",88.59,4,22.15,2024-04-01,No,0,0,88.59
TXN9060,BNPL5011,Regular User,2024-02-25,2024-02,Sezzle,"Fast Fashion (Shein, Temu, ASOS)",41.37,4,10.34,2024-04-21,No,0,0,41.37
TXN9061,BNPL5011,Regular User,2024-09-12,2024-09,Klarna,Electronics and Tech,425.73,4,106.43,2024-11-07,No,0,0,425.73
TXN9062,BNPL5011,Regular User,2024-10-30,2024-10,Afterpay,Electronics and Tech,392.33,6,65.39,2025-01-22,No,0,0,392.33
TXN9063,BNPL5012,Regular User,2024-01-15,2024-01,Afterpay,"Fast Fashion (Shein, Temu, ASOS)",76.66,4,19.16,2024-03-11,No,0,0,76.66
TXN9064,BNPL5012,Regular User,2024-01-01,2024-01,Klarna,Beauty and Skincare,88.18,4,22.05,2024-02-26,Yes,1,8.0,96.18
TXN9065,BNPL5012,Regular User,2024-08-03,2024-08,PayBright,Home and Furniture,429.03,6,71.5,2024-10-26,No,0,0,429.03
TXN9066,BNPL5012,Regular User,2024-11-17,2024-11,Klarna,Beauty and Skincare,66.27,3,22.09,2024-12-29,No,0,0,66.27
TXN9067,BNPL5012,Regular User,2024-10-28,2024-10,PayBright,Beauty and Skincare,109.92,3,36.64,2024-12-09,No,0,0,109.92
TXN9068,BNPL5012,Regular User,2024-12-30,2024-12,Klarna,Sporting Goods,270.55,4,67.64,2025-02-24,No,0,0,270.55
TXN9069,BNPL5012,Regular User,2024-02-08,2024-02,Paidy,Home and Furniture,292.18,4,73.05,2024-04-04,No,0,0,292.18
TXN9070,BNPL5012,Regular User,2024-04-24,2024-04,Klarna,Electronics and Tech,372.83,4,93.21,2024-06-19,No,0,0,372.83
TXN9071,BNPL5012,Regular User,2024-10-13,2024-10,Afterpay,Sporting Goods,233.73,4,58.43,2024-12-08,No,0,0,233.73
TXN9072,BNPL5012,Regular User,2024-08-24,2024-08,PayBright,"Fast Fashion (Shein, Temu, ASOS)",65.29,4,16.32,2024-10-19,No,0,0,65.29
TXN9073,BNPL5013,Occasional User,2024-01-27,2024-01,PayBright,Home and Furniture,430.55,4,107.64,2024-03-23,No,0,0,430.55
TXN9074,BNPL5014,High Exposure User,2024-05-25,2024-05,Afterpay,"Fast Fashion (Shein, Temu, ASOS)",40.14,3,13.38,2024-07-06,Yes,2,16.0,56.14
TXN9075,BNPL5014,High Exposure User,2024-01-17,2024-01,Sezzle,Footwear,115.66,4,28.91,2024-03-13,No,0,0,115.66
TXN9076,BNPL5014,High Exposure User,2024-05-14,2024-05,Klarna,Beauty and Skincare,66.85,6,11.14,2024-08-06,Yes,2,16.0,82.85
TXN9077,BNPL5014,High Exposure User,2024-03-01,2024-03,Klarna,Electronics and Tech,226.28,6,37.71,2024-05-24,No,0,0,226.28
TXN9078,BNPL5014,High Exposure User,2024-05-31,2024-05,PayBright,Footwear,214.37,6,35.73,2024-08-23,No,0,0,214.37
TXN9079,BNPL5014,High Exposure User,2024-03-02,2024-03,Afterpay,Electronics and Tech,222.42,4,55.6,2024-04-27,No,0,0,222.42
TXN9080,BNPL5014,High Exposure User,2024-03-02,2024-03,Afterpay,Home and Furniture,478.37,4,119.59,2024-04-27,No,0,0,478.37
TXN9081,BNPL5014,High Exposure User,2024-03-01,2024-03,Klarna,Footwear,110.0,4,27.5,2024-04-26,No,0,0,110.0
TXN9082,BNPL5014,High Exposure User,2024-02-22,2024-02,Afterpay,Footwear,46.47,3,15.49,2024-04-04,No,0,0,46.47
TXN9083,BNPL5014,High Exposure User,2024-09-08,2024-09,Sezzle,Sporting Goods,327.67,4,81.92,2024-11-03,Yes,1,8.0,335.67
TXN9084,BNPL5014,High Exposure User,2024-02-22,2024-02,Afterpay,Home and Furniture,391.33,4,97.83,2024-04-18,No,0,0,391.33
TXN9085,BNPL5014,High Exposure User,2024-07-17,2024-07,Klarna,Footwear,134.58,4,33.65,2024-09-11,No,0,0,134.58
TXN9086,BNPL5014,High Exposure User,2024-06-18,2024-06,PayBright,Sporting Goods,243.2,3,81.07,2024-07-30,Yes,2,16.0,259.2
TXN9087,BNPL5014,High Exposure User,2024-06-29,2024-06,Afterpay,"Fast Fashion (Shein, Temu, ASOS)",52.93,4,13.23,2024-08-24,Yes,1,8.0,60.93
TXN9088,BNPL5014,High Exposure User,2024-12-01,2024-12,PayBright,"Fast Fashion (Shein, Temu, ASOS)",58.13,4,14.53,2025-01-26,No,0,0,58.13
TXN9089,BNPL5015,Regular User,2024-08-06,2024-08,Klarna,"Fast Fashion (Shein, Temu, ASOS)",56.98,4,14.24,2024-10-01,Yes,1,8.0,64.98
TXN9090,BNPL5015,Regular User,2024-11-26,2024-11,Sezzle,Sporting Goods,141.17,4,35.29,2025-01-21,No,0,0,141.17
TXN9091,BNPL5015,Regular User,2024-10-01,2024-10,PayBright,Home and Furniture,284.01,3,94.67,2024-11-12,No,0,0,284.01
TXN9092,BNPL5015,Regular User,2024-09-20,2024-09,Afterpay,Footwear,128.79,6,21.46,2024-12-13,No,0,0,128.79
TXN9093,BNPL5015,Regular User,2024-07-31,2024-07,Sezzle,"Fast Fashion (Shein, Temu, ASOS)",62.39,3,20.8,2024-09-11,No,0,0,62.39
TXN9094,BNPL5015,Regular User,2024-10-23,2024-10,Afterpay,Beauty and Skincare,91.41,4,22.85,2024-12-18,No,0,0,91.41
TXN9095,BNPL5015,Regular User,2024-06-14,2024-06,PayBright,Electronics and Tech,295.37,6,49.23,2024-09-06,No,0,0,295.37
TXN9096,BNPL5015,Regular User,2024-08-05,2024-08,Afterpay,Beauty and Skincare,85.71,4,21.43,2024-09-30,No,0,0,85.71
TXN9097,BNPL5016,High Exposure User,2024-09-15,2024-09,Paidy,Home and Furniture,364.28,4,91.07,2024-11-10,Yes,1,8.0,372.28
TXN9098,BNPL5016,High Exposure User,2024-09-27,2024-09,Klarna,Beauty and Skincare,65.86,6,10.98,2024-12-20,Yes,2,16.0,81.86
TXN9099,BNPL5016,High Exposure User,2024-05-18,2024-05,Klarna,"Fast Fashion (Shein, Temu, ASOS)",49.02,4,12.26,2024-07-13,No,0,0,49.02
TXN9100,BNPL5016,High Exposure User,2024-07-02,2024-07,Sezzle,"Fast Fashion (Shein, Temu, ASOS)",54.61,3,18.2,2024-08-13,No,0,0,54.61
TXN9101,BNPL5016,High Exposure User,2024-04-24,2024-04,PayBright,Electronics and Tech,330.48,4,82.62,2024-06-19,No,0,0,330.48
TXN9102,BNPL5016,High Exposure User,2024-10-25,2024-10,PayBright,Beauty and Skincare,98.96,3,32.99,2024-12-06,No,0,0,98.96
TXN9103,BNPL5016,High Exposure User,2024-03-25,2024-03,Paidy,Home and Furniture,295.75,4,73.94,2024-05-20,Yes,1,8.0,303.75
TXN9104,BNPL5016,High Exposure User,2024-01-09,2024-01,Afterpay,"Fast Fashion (Shein, Temu, ASOS)",42.0,4,10.5,2024-03-05,Yes,2,16.0,58.0
TXN9105,BNPL5016,High Exposure User,2024-12-07,2024-12,Klarna,Electronics and Tech,286.38,4,71.59,2025-02-01,No,0,0,286.38
TXN9106,BNPL5016,High Exposure User,2024-11-28,2024-11,Klarna,Electronics and Tech,177.62,3,59.21,2025-01-09,No,0,0,177.62
TXN9107,BNPL5016,High Exposure User,2024-06-03,2024-06,Afterpay,"Fast Fashion (Shein, Temu, ASOS)",72.14,6,12.02,2024-08-26,No,0,0,72.14
TXN9108,BNPL5016,High Exposure User,2024-09-06,2024-09,Klarna,"Fast Fashion (Shein, Temu, ASOS)",53.65,6,8.94,2024-11-29,No,0,0,53.65
TXN9109,BNPL5016,High Exposure User,2024-09-25,2024-09,Afterpay,Footwear,119.91,3,39.97,2024-11-06,No,0,0,119.91
TXN9110,BNPL5016,High Exposure User,2024-08-29,2024-08,Afterpay,Electronics and Tech,358.2,4,89.55,2024-10-24,No,0,0,358.2
TXN9111,BNPL5016,High Exposure User,2024-07-07,2024-07,Afterpay,"Fast Fashion (Shein, Temu, ASOS)",59.63,4,14.91,2024-09-01,No,0,0,59.63
TXN9112,BNPL5016,High Exposure User,2024-04-27,2024-04,Afterpay,"Fast Fashion (Shein, Temu, ASOS)",54.39,4,13.6,2024-06-22,Yes,2,16.0,70.39
TXN9113,BNPL5016,High Exposure User,2024-10-30,2024-10,Klarna,Footwear,122.18,4,30.55,2024-12-25,No,0,0,122.18
TXN9114,BNPL5016,High Exposure User,2024-02-17,2024-02,Afterpay,Electronics and Tech,254.79,3,84.93,2024-03-30,No,0,0,254.79
TXN9115,BNPL5016,High Exposure User,2024-04-25,2024-04,Afterpay,Electronics and Tech,250.95,4,62.74,2024-06-20,No,0,0,250.95
TXN9116,BNPL5016,High Exposure User,2024-10-05,2024-10,Klarna,Beauty and Skincare,73.68,4,18.42,2024-11-30,No,0,0,73.68
TXN9117,BNPL5016,High Exposure User,2024-08-19,2024-08,PayBright,Home and Furniture,335.7,6,55.95,2024-11-11,Yes,2,16.0,351.7
TXN9118,BNPL5017,Regular User,2024-06-18,2024-06,Sezzle,Electronics and Tech,276.92,4,69.23,2024-08-13,No,0,0,276.92
TXN9119,BNPL5017,Regular User,2024-03-02,2024-03,Afterpay,Beauty and Skincare,87.49,4,21.87,2024-04-27,No,0,0,87.49
TXN9120,BNPL5017,Regular User,2024-10-02,2024-10,Afterpay,Footwear,133.49,4,33.37,2024-11-27,No,0,0,133.49
TXN9121,BNPL5017,Regular User,2024-11-25,2024-11,Sezzle,Footwear,44.77,4,11.19,2025-01-20,No,0,0,44.77
TXN9122,BNPL5017,Regular User,2024-05-26,2024-05,Afterpay,Beauty and Skincare,110.86,4,27.71,2024-07-21,No,0,0,110.86
TXN9123,BNPL5017,Regular User,2024-10-17,2024-10,Sezzle,Home and Furniture,474.26,3,158.09,2024-11-28,No,0,0,474.26
TXN9124,BNPL5017,Regular User,2024-03-28,2024-03,Sezzle,Beauty and Skincare,90.79,4,22.7,2024-05-23,No,0,0,90.79
TXN9125,BNPL5018,High Exposure User,2024-12-30,2024-12,Afterpay,"Fast Fashion (Shein, Temu, ASOS)",55.01,4,13.75,2025-02-24,No,0,0,55.01
TXN9126,BNPL5018,High Exposure User,2024-12-14,2024-12,Klarna,"Fast Fashion (Shein, Temu, ASOS)",72.93,4,18.23,2025-02-08,No,0,0,72.93
TXN9127,BNPL5018,High Exposure User,2024-10-04,2024-10,Afterpay,"Fast Fashion (Shein, Temu, ASOS)",72.6,6,12.1,2024-12-27,Yes,2,16.0,88.6
TXN9128,BNPL5018,High Exposure User,2024-02-20,2024-02,Afterpay,Footwear,157.37,6,26.23,2024-05-14,No,0,0,157.37
TXN9129,BNPL5018,High Exposure User,2024-01-22,2024-01,Klarna,Beauty and Skincare,117.02,4,29.25,2024-03-18,Yes,2,16.0,133.02
TXN9130,BNPL5018,High Exposure User,2024-09-18,2024-09,Klarna,Beauty and Skincare,63.15,6,10.53,2024-12-11,Yes,2,16.0,79.15
TXN9131,BNPL5018,High Exposure User,2024-07-29,2024-07,Afterpay,Footwear,104.12,6,17.35,2024-10-21,Yes,2,16.0,120.12
TXN9132,BNPL5018,High Exposure User,2024-05-12,2024-05,Sezzle,Electronics and Tech,256.13,4,64.03,2024-07-07,Yes,2,16.0,272.13
TXN9133,BNPL5018,High Exposure User,2024-05-15,2024-05,Klarna,Sporting Goods,263.0,4,65.75,2024-07-10,No,0,0,263.0
TXN9134,BNPL5019,Regular User,2024-08-13,2024-08,PayBright,Electronics and Tech,346.44,4,86.61,2024-10-08,No,0,0,346.44
TXN9135,BNPL5019,Regular User,2024-06-21,2024-06,PayBright,Beauty and Skincare,67.57,6,11.26,2024-09-13,No,0,0,67.57
TXN9136,BNPL5019,Regular User,2024-12-25,2024-12,Afterpay,"Fast Fashion (Shein, Temu, ASOS)",57.53,6,9.59,2025-03-19,No,0,0,57.53
TXN9137,BNPL5019,Regular User,2024-04-01,2024-04,Paidy,Home and Furniture,373.88,4,93.47,2024-05-27,No,0,0,373.88
TXN9138,BNPL5019,Regular User,2024-11-10,2024-11,Klarna,"Fast Fashion (Shein, Temu, ASOS)",58.18,4,14.54,2025-01-05,No,0,0,58.18
TXN9139,BNPL5020,Regular User,2024-11-25,2024-11,Klarna,Electronics and Tech,278.8,4,69.7,2025-01-20,No,0,0,278.8
TXN9140,BNPL5020,Regular User,2024-07-22,2024-07,PayBright,Electronics and Tech,250.82,4,62.7,2024-09-16,Yes,2,16.0,266.82
TXN9141,BNPL5020,Regular User,2024-06-17,2024-06,Sezzle,Electronics and Tech,130.98,4,32.74,2024-08-12,No,0,0,130.98
TXN9142,BNPL5020,Regular User,2024-03-16,2024-03,Afterpay,Electronics and Tech,295.23,4,73.81,2024-05-11,No,0,0,295.23
TXN9143,BNPL5020,Regular User,2024-10-20,2024-10,PayBright,"Fast Fashion (Shein, Temu, ASOS)",56.03,4,14.01,2024-12-15,No,0,0,56.03
TXN9144,BNPL5021,Regular User,2024-12-04,2024-12,Klarna,"Fast Fashion (Shein, Temu, ASOS)",40.81,4,10.2,2025-01-29,No,0,0,40.81
TXN9145,BNPL5021,Regular User,2024-09-16,2024-09,Klarna,Home and Furniture,328.81,4,82.2,2024-11-11,No,0,0,328.81
TXN9146,BNPL5021,Regular User,2024-01-26,2024-01,Afterpay,Electronics and Tech,407.7,4,101.92,2024-03-22,Yes,2,16.0,423.7
TXN9147,BNPL5021,Regular User,2024-09-21,2024-09,Afterpay,Footwear,148.48,4,37.12,2024-11-16,No,0,0,148.48
TXN9148,BNPL5021,Regular User,2024-11-04,2024-11,Klarna,Electronics and Tech,251.53,4,62.88,2024-12-30,No,0,0,251.53
TXN9149,BNPL5021,Regular User,2024-10-17,2024-10,Sezzle,Beauty and Skincare,87.28,3,29.09,2024-11-28,No,0,0,87.28
TXN9150,BNPL5022,Occasional User,2024-09-07,2024-09,Afterpay,"Fast Fashion (Shein, Temu, ASOS)",67.69,4,16.92,2024-11-02,No,0,0,67.69
TXN9151,BNPL5022,Occasional User,2024-06-24,2024-06,Afterpay,"Fast Fashion (Shein, Temu, ASOS)",77.65,4,19.41,2024-08-19,No,0,0,77.65
TXN9152,BNPL5023,Regular User,2024-06-15,2024-06,Klarna,"Fast Fashion (Shein, Temu, ASOS)",39.8,3,13.27,2024-07-27,No,0,0,39.8
TXN9153,BNPL5023,Regular User,2024-01-15,2024-01,Afterpay,Footwear,86.98,4,21.75,2024-03-11,No,0,0,86.98
TXN9154,BNPL5023,Regular User,2024-09-16,2024-09,Afterpay,Beauty and Skincare,61.29,4,15.32,2024-11-11,No,0,0,61.29
TXN9155,BNPL5023,Regular User,2024-05-31,2024-05,PayBright,"Fast Fashion (Shein, Temu, ASOS)",59.32,4,14.83,2024-07-26,No,0,0,59.32
TXN9156,BNPL5023,Regular User,2024-10-19,2024-10,Sezzle,"Fast Fashion (Shein, Temu, ASOS)",71.9,6,11.98,2025-01-11,No,0,0,71.9
TXN9157,BNPL5023,Regular User,2024-06-18,2024-06,Afterpay,Beauty and Skincare,56.47,4,14.12,2024-08-13,No,0,0,56.47
TXN9158,BNPL5023,Regular User,2024-02-28,2024-02,Sezzle,"Fast Fashion (Shein, Temu, ASOS)",42.35,4,10.59,2024-04-24,No,0,0,42.35
TXN9159,BNPL5024,High Exposure User,2024-08-12,2024-08,Sezzle,Footwear,95.24,4,23.81,2024-10-07,Yes,2,16.0,111.24
TXN9160,BNPL5024,High Exposure User,2024-11-07,2024-11,Afterpay,Beauty and Skincare,56.36,6,9.39,2025-01-30,No,0,0,56.36
TXN9161,BNPL5024,High Exposure User,2024-11-28,2024-11,Afterpay,Beauty and Skincare,122.41,4,30.6,2025-01-23,No,0,0,122.41
TXN9162,BNPL5024,High Exposure User,2024-12-29,2024-12,Klarna,Electronics and Tech,232.84,6,38.81,2025-03-23,Yes,1,8.0,240.84
TXN9163,BNPL5024,High Exposure User,2024-12-05,2024-12,Klarna,Sporting Goods,232.36,4,58.09,2025-01-30,Yes,2,16.0,248.36
TXN9164,BNPL5024,High Exposure User,2024-06-19,2024-06,Sezzle,Home and Furniture,318.52,4,79.63,2024-08-14,No,0,0,318.52
TXN9165,BNPL5024,High Exposure User,2024-07-11,2024-07,Klarna,Footwear,100.5,6,16.75,2024-10-03,Yes,1,8.0,108.5
TXN9166,BNPL5024,High Exposure User,2024-12-23,2024-12,Klarna,"Fast Fashion (Shein, Temu, ASOS)",52.73,4,13.18,2025-02-17,No,0,0,52.73
TXN9167,BNPL5024,High Exposure User,2024-07-23,2024-07,Afterpay,Beauty and Skincare,59.15,3,19.72,2024-09-03,No,0,0,59.15
TXN9168,BNPL5024,High Exposure User,2024-05-23,2024-05,Klarna,Home and Furniture,344.79,4,86.2,2024-07-18,Yes,1,8.0,352.79
TXN9169,BNPL5024,High Exposure User,2024-02-08,2024-02,Sezzle,Footwear,92.09,4,23.02,2024-04-04,No,0,0,92.09
TXN9170,BNPL5024,High Exposure User,2024-11-18,2024-11,PayBright,"Fast Fashion (Shein, Temu, ASOS)",65.76,4,16.44,2025-01-13,No,0,0,65.76
TXN9171,BNPL5024,High Exposure User,2024-12-09,2024-12,Klarna,"Fast Fashion (Shein, Temu, ASOS)",49.25,4,12.31,2025-02-03,No,0,0,49.25
TXN9172,BNPL5024,High Exposure User,2024-03-10,2024-03,Klarna,Sporting Goods,158.71,6,26.45,2024-06-02,No,0,0,158.71
TXN9173,BNPL5024,High Exposure User,2024-01-01,2024-01,Sezzle,Footwear,46.74,4,11.69,2024-02-26,No,0,0,46.74
TXN9174,BNPL5024,High Exposure User,2024-12-05,2024-12,Klarna,"Fast Fashion (Shein, Temu, ASOS)",59.9,6,9.98,2025-02-27,No,0,0,59.9
TXN9175,BNPL5025,Regular User,2024-09-07,2024-09,PayBright,"Fast Fashion (Shein, Temu, ASOS)",69.51,6,11.59,2024-11-30,No,0,0,69.51
TXN9176,BNPL5025,Regular User,2024-07-28,2024-07,Sezzle,"Fast Fashion (Shein, Temu, ASOS)",69.63,3,23.21,2024-09-08,Yes,2,16.0,85.63
TXN9177,BNPL5025,Regular User,2024-06-20,2024-06,Klarna,Electronics and Tech,359.37,4,89.84,2024-08-15,No,0,0,359.37
